epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,866.139,1.08276,2.84241,1.59066,0.55822,0.31901,0.55503,0.33641,1.20723,3.37079,1.96228,0.00036436,0.00036436,0.00036436
2,1600.22,1.11609,2.00191,1.57975,0.42116,0.60542,0.50282,0.27963,1.36852,2.93954,2.09511,0.000710449,0.000710449,0.000710449
3,2327.77,1.09406,1.92344,1.53382,0.55853,0.57695,0.5425,0.30697,1.43099,3.37387,2.13983,0.0010321,0.0010321,0.0010321
4,3046.89,1.13297,1.6531,1.5769,0.46098,0.57357,0.55401,0.27854,1.49415,2.72691,2.39792,0.00100101,0.00100101,0.00100101
5,3764.67,1.1246,1.5409,1.57943,0.69354,0.67113,0.70993,0.42038,1.40791,2.10028,2.14194,0.000964348,0.000964348,0.000964348
6,4487.22,1.08996,1.43376,1.53356,0.70332,0.70881,0.78286,0.44824,1.40766,1.89197,2.12085,0.000927685,0.000927685,0.000927685
